Country,Commodities,HS _ Code,Unit,Quantity/„ﬁœ«—,Value (US$),Ê«Õœ „ﬁ?«”,Ã‰”
Australia,Red raisin,80205,Kg,15798,12986,ﬂÌ·Ê,ﬂ‘„‘ ”—Œ
Australia,Green raisin,80206,Kg,19960,17964,ﬂÌ·Ê,ﬂ‘„‘ ”»“
Australia,Pip of Almond,80306,Kg,5200,24440,ﬂÌ·Ê,„€“ »«œ«„
Australia,Kandi,999999,Kg,1500,3150,ﬂÌ·Ê,‰ﬁ· »«œ«„Ì
Australia,Rug,570100,m2,2621,259479,„ —„—»⁄,ﬁ«·Ì‰
Belgium,Pip of pestachio,80310,Kg,13000,59800,ﬂÌ·Ê,„€“ Å” Â
Belgium,Plant etc .nes,120200,Kg,2100,1050,ﬂÌ·Ê,ﬂ‰Ãœ
Belgium,Kurk skin,510500,Kg,317624,2604516,ﬂÌ·Ê,Å  ﬂ—ﬂ
Canada,Quroot(Dried Ygorate),40301,Kg,3393,3732,ﬂÌ·Ê,ﬁ—Ê 
Canada,Pip of pestachio,80310,Kg,695,3281,ﬂÌ·Ê,„€“ Å” Â
Canada,Antiqe,690800,Kg,198,1544,ﬂÌ·Ê,«‘Ì« «‰ Ìﬂ
Canada,Rug,570100,m2,4078,403722,„ —„—»⁄,ﬁ«·Ì‰
Canada,Rug,570200,m2,2340,16145,„ —„—»⁄,ê·Ì„
Canada,Other not classify,999999,,,320,,”«Ì— «‘Ì«
China,Kurk skin,510500,Kg,10195,83599,ﬂÌ·Ê,Å  ﬂ—ﬂ
China,Rug,570100,m2,106,10492,„ —„—»⁄,ﬁ«·Ì‰
China,Goat skin,410800,No,57420,144466,Ã·œ,ÅÊ”  »“Ì
China,Marmar ston,250700,,,192,,”‰ê „—„—
Denmark,Qaraqul skin,410700,No,215327,2519326,Ã·œ,ÅÊ”  ﬁ—Â ﬁ·
Finland,Qaraqul skin,410700,No,639884,7486643,Ã·œ,ÅÊ”  ﬁ—Â ﬁ·
France,Licorice root,90318,Kg,151052,75526,ﬂÌ·Ê,‘—Ì‰ »ÊÌÂ
Germany,Red raisin,80205,Kg,117513,94010,ﬂÌ·Ê,ﬂ‘„‘ ”—Œ
Germany,Green raisin,80206,Kg,245590,225265,ﬂÌ·Ê,ﬂ‘„‘ ”»“
Germany,Soft Almond,80304,Kg,23000,66700,ﬂÌ·Ê,»«œ«„ ﬂ«€–Ì
Germany,Pip of Almond,80306,Kg,83800,393860,ﬂÌ·Ê,„€“ »«œ«„
Germany,Jalghoza (dried fruit),80311,Kg,1521,9734,ﬂÌ·Ê,Ã·€Ê“Â ”Ì«Â
Germany,Licorice root,90318,Kg,1500,750,ﬂÌ·Ê,‘—Ì‰ »ÊÌÂ
Germany,Antiqe,690800,Kg,189,1474,ﬂÌ·Ê,«‘Ì« «‰ Ìﬂ
Germany,Rug,570100,m2,33257,3245443,„ —„—»⁄,ﬁ«·Ì‰
Germany,Qaraqul skin,410700,No,22926,239624,Ã·œ,ÅÊ”  ﬁ—Â ﬁ·
Germany,Marmar ston,250700,,,228,,”‰ê „—„—
Germany,Other not classify,999999,,0,2418,,”«Ì— «‘Ì«
Greece,Red raisin,80205,Kg,3902040,3391632,ﬂÌ·Ê,ﬂ‘„‘ ”—Œ
Greece,Rug,570100,m2,12960,1283040,„ —„—»⁄,ﬁ«·Ì‰
Hong kong,Kurk skin,510500,Kg,19990,163918,ﬂÌ·Ê,Å  ﬂ—ﬂ
Hong kong,Marmar ston,250700,,,540,,”‰ê „—„—
India,Grape,80102,Kg,5744000,2043200,ﬂÌ·Ê,«‰êÊ—
India,Apple,80107,Kg,3458800,883520,ﬂÌ·Ê,”Ì»
India,Melon,80122,Kg,6550809,2165243,ﬂÌ·Ê,Œ—»Ê“Â
India,Shakarpara(kind of dri aprivot),80204,Kg,1120203,1112843,ﬂÌ·Ê,‘ﬂ— Å«—Â
